Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
14/7/2006,612,619,595.5,603,84996
21/7/2006,598.75,601,575.5,577,83380
28/7/2006,577.25,592.75,571,576.5,101777
4/8/2006,578.25,593.25,573,582,73985
11/8/2006,577.25,577.25,552,555.25,57964
18/8/2006,550,560.25,546.25,547,41242
25/8/2006,547,555,541.75,543,55158
1/9/2006,541.5,557,535.5,551.5,97065
8/9/2006,550.5,564,543.25,548,226832
15/9/2006,549,558,536.75,549.75,238046
22/9/2006,555.5,561.75,542.5,549.25,270226
29/9/2006,549,555,539.5,547.5,297205
6/10/2006,547.25,570.25,540.5,564,373430
13/10/2006,563,594.75,558.75,591.5,447473
20/10/2006,589,614,585.5,606.5,359974
27/10/2006,606,641,602,635.5,227106
3/11/2006,633.5,682.5,629.5,662.75,370288
10/11/2006,660.25,683.25,656,662.5,336443
17/11/2006,661,677.75,651,660.5,312410
24/11/2006,663,687.25,662.25,684.25,200618
1/12/2006,684.25,695.75,675.5,677,289261
8/12/2006,673.75,675,652.5,656,344700
15/12/2006,656,670,652.5,657.5,298555
22/12/2006,657.5,660,642.75,659.5,124546
29/12/2006,663,685,663,683.5,109854
5/1/2007,695.75,697,670.5,681.5,190001
12/1/2007,682.75,723.75,657,716.5,373046
19/1/2007,716,732,705.5,717.75,334206
26/1/2007,713.5,728.75,707.25,710.5,286694
2/2/2007,713,738,704.5,736.75,330280
9/2/2007,737.5,757,733.75,749.25,423929
16/2/2007,748.25,768.5,741,767,373310
23/2/2007,766.75,791,762.5,778.25,161820
2/3/2007,778.5,790,750,753.5,327139
9/3/2007,750.25,765.5,739,759.75,364162
16/3/2007,760.5,770.75,744.75,753.5,307354
23/3/2007,756.25,775,749.5,769.5,240670
30/3/2007,767.5,779,742,761.25,336172
6/4/2007,756.5,787,751.25,760.5,318937
13/4/2007,765.5,775,732,738,459816
20/4/2007,733.25,742.25,713.5,723.25,172987
27/4/2007,723.25,733,708.5,723,147354
4/5/2007,722.75,760.5,717.5,747.5,264640
11/5/2007,751.5,768.75,734,761.75,261180
18/5/2007,761.5,797,759.75,792.5,340747
25/5/2007,790,814.25,787.5,812.5,303995
1/6/2007,809,819.5,791.75,817.5,311971
8/6/2007,815.25,835.75,806.75,821.5,449192
15/6/2007,838,848.75,815,847.25,384280
22/6/2007,857.25,863,791.75,797,299960
29/6/2007,800,878.5,793.75,850,240661
6/7/2007,858,877.75,854.25,869.25,97736
13/7/2007,870.5,923,861,921.75,81924
20/7/2007,908,908,828.5,850.25,79948
27/7/2007,843.75,843.75,808.75,815.5,94663
3/8/2007,818,850.5,815.5,844.75,112995
10/8/2007,838.25,867,824,856,52918
17/8/2007,862.5,872.25,789,811.5,46829
24/8/2007,806,852,804,849,38480
31/8/2007,845,880.5,837.25,868,77694
7/9/2007,885.5,916.75,885.5,905.25,354647
14/9/2007,904.25,959.75,904.25,954.75,415492
21/9/2007,963,996.75,952.75,979,413098
28/9/2007,977.5,1017.75,970,991.25,405731
5/10/2007,991.5,999.25,931,940.5,490415
12/10/2007,937,993.25,922,976.75,528499
19/10/2007,977.25,996.75,967.5,983.25,343525
26/10/2007,979,1007,961,995.5,317914
2/11/2007,1000,1036.25,980.5,1016.75,370262
9/11/2007,1014,1057.25,1008,1056,352200
16/11/2007,1053,1088,1034.5,1077.75,373620
23/11/2007,1079,1103.25,1053,1100.25,241691
30/11/2007,1100.5,1114,1075.5,1080,392785
7/12/2007,1083.25,1122,1068.5,1119.75,404166
14/12/2007,1117.5,1164.5,1115,1157,497902
21/12/2007,1157.5,1178,1146.25,1177.5,338933
28/12/2007,1175,1230,1165,1207.75,142461
4/1/2008,1197,1278,1180.75,1262.5,310523
11/1/2008,1259.75,1310.25,1246.5,1298.75,458088
18/1/2008,1302,1341.5,1244,1264,453879
25/1/2008,1240,1255.5,1189.5,1243,398632
1/2/2008,1244,1298.5,1228,1287.25,376545
8/2/2008,1289.5,1374.5,1288.5,1339,601692
15/2/2008,1345.25,1387,1306.5,1373.75,419976
22/2/2008,1375,1422.25,1375,1420,234475
29/2/2008,1425,1524,1423.5,1522,200730
7/3/2008,1534,1586.25,1408.75,1408.75,484237
14/3/2008,1370,1440.25,1352.75,1352.75,403748
21/3/2008,1352,1374.25,1207,1207,273460
28/3/2008,1210.75,1357,1207,1267.25,333971
4/4/2008,1280,1300,1106.5,1277,433494
11/4/2008,1275.75,1380.5,1245,1332.5,498999
18/4/2008,1344.25,1398,1315,1361.5,322359
25/4/2008,1362,1395.25,1291.5,1325.75,203708
2/5/2008,1330.5,1345,1244,1304.5,263191
9/5/2008,1305.25,1367.25,1272,1358,329281
16/5/2008,1361,1402,1311,1378,342852
23/5/2008,1377.25,1377.25,1312.5,1368,343704
30/5/2008,1384,1390,1307.75,1363.5,335669
6/6/2008,1357,1487.75,1346.5,1457.5,483838
13/6/2008,1469.25,1571.75,1419,1560,542413
