Dates,MACD,MACD_SIGNAL,MACD_DIFF,TAS_K,TAS_D,TAS_DS,TAS_DSS,CMCI,RSI,BB_MA,BB_UPPER,BB_LOWER,BB_WIDTH,BB_PERCENT
13/5/2002,2.32915745,1.626177425,0.702980026,86.59793814,68.16803916,51.19439016,45.26567269,116.5980284,59.64926816,469.1125,480.2721091,457.9528909,4.757753881,0.875797214
14/5/2002,2.65782513,1.832506966,0.825318164,80,75.56990832,58.91997408,51.55908383,116.235495,58.01566316,469.75,480.953794,458.546206,4.770109207,0.778923372
15/5/2002,3.363672171,2.138740007,1.224932165,96.15384615,81.34273362,66.7301559,58.94817338,128.6185711,62.44605532,470.1875,482.5293749,457.8456251,5.249767319,0.97855371
16/5/2002,4.097727008,2.530537407,1.567189601,91.73553719,83.05432704,73.10510315,66.25174438,136.4495257,64.30525194,470.9125,484.7916886,457.0333114,5.894593393,0.998498163
17/5/2002,4.845516672,2.99353326,1.851983412,98.38709677,90.57488365,79.74197836,73.19241247,134.8415482,66.11201099,471.6875,487.3406746,456.0343254,6.637095364,1.005089236
20/5/2002,5.675317501,3.529890108,2.145427392,96.47887324,92.55107067,84.61858466,79.15522206,130.99996,68.4567053,472.725,490.5287215,454.9212785,7.532379934,1.020256396
21/5/2002,6.200941312,4.064100349,2.136840963,93.70629371,95.29232941,88.56306888,84.3078773,120.7162217,67.45151835,473.55,492.969449,454.130551,8.201646717,0.936418149
22/5/2002,6.741519042,4.599584088,2.141934954,91.13924051,94.28940828,91.15240381,88.11135245,122.5136505,69.08125037,474.225,495.2932818,453.1567182,8.885352669,0.945575015
23/5/2002,6.968564054,5.073380081,1.895183973,87.34177215,93.41065528,93.22366946,90.97971405,89.41621729,66.91627406,475.1,497.4715221,452.7284779,9.417605589,0.866537421
24/5/2002,7.027148448,5.464133754,1.563014694,86.07594937,90.94842579,93.29837789,92.55815039,77.21212294,66.17183429,476.275,499.382845,453.167155,9.703572511,0.818614739
27/5/2002,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
28/5/2002,7.491541936,5.869615391,1.621926546,98.77300613,91.40725237,93.06961423,93.19722052,99.82108468,70.57803417,478.05,501.8652262,454.2347738,9.963487594,0.903103456
29/5/2002,7.690237212,6.233739755,1.456497457,90.75144509,90.81628265,92.17440488,92.84746566,113.2341691,69.0287872,479.75,503.6649535,455.8350465,9.969756532,0.844972446
30/5/2002,8.157132516,6.618418307,1.538714209,95.67567568,91.72356968,91.66123716,92.30175209,128.1159449,72.30253895,481.6,506.1486252,457.0513748,10.1946118,0.900226078
31/5/2002,9.028265504,7.100387746,1.927877757,96.27906977,93.51102921,91.68131194,91.83898466,183.1201657,76.34214362,483.85,509.6586226,458.0413774,10.66802629,0.982396918
3/6/2002,9.348631628,7.550036523,1.798595105,90.04739336,94.30531801,92.35269038,91.89841316,143.8375382,71.47724819,486.0625,511.3230795,460.8019205,10.39396352,0.884739788
4/6/2002,9.832124954,8.006454209,1.825670745,87.21461187,91.99363915,92.46996774,92.16799002,149.4428186,73.82616071,488.4125,513.3028972,463.5221028,10.192367,0.928629157
5/6/2002,10.41797158,8.488757683,1.929213895,94.41860465,92.72707107,92.85212542,92.55826118,133.5166585,75.84258373,490.825,515.7178203,465.9321797,10.14325686,0.96047414
6/6/2002,10.71835886,8.934677918,1.78368094,88.0952381,91.21098355,92.7496082,92.69056712,128.6707595,75.06411481,492.8875,518.0338094,467.7411906,10.20367097,0.904880488
7/6/2002,10.37286902,9.222316138,1.150552881,77.14285714,87.38374103,91.52415056,92.37529473,64.04595589,66.59821242,494.45,519.1464572,469.7535428,9.989465967,0.764207936
10/6/2002,9.425572205,9.262967352,0.162604854,60,81.37426235,88.93793943,91.07056606,-3.078744888,58.01936852,495.9375,518.2096098,473.6653902,8.981821218,0.602426309
11/6/2002,8.575974163,9.125568714,-0.549594551,58.01104972,75.53354992,85.64592158,88.70267052,-23.69542902,58.01936852,497.0875,517.7498299,476.4251701,8.313357248,0.582577812
12/6/2002,7.234255194,8.74730601,-1.513050816,41.66666667,64.98316233,80.09713984,84.89366695,-73.17769295,50.24494956,497.95,516.3338244,479.5661756,7.383803358,0.372170233
13/6/2002,6.738785857,8.345601979,-1.606816122,54.9382716,58.35176903,73.52529693,79.75611945,-52.5004308,57.07931574,498.9125,515.8109282,482.0140718,6.774104951,0.569163237
14/6/2002,5.934771011,7.863435786,-1.928664775,38.7755102,50.67829964,66.18420865,73.26888181,-69.02655022,52.92050924,499.525,515.1670107,483.8829893,6.262753912,0.41928787
17/6/2002,5.37681327,7.366111283,-1.989298012,43.53741497,47.38578263,59.38651271,66.36533943,-75.55474666,54.39399449,500.0875,514.7369667,485.4380333,5.858761402,0.454349874
18/6/2002,4.419703209,6.776829668,-2.357126459,18.46153846,39.47588038,52.1749788,59.24856672,-107.9459698,48.97068155,500.175,514.6319188,485.7180812,5.780744243,0.25184892
19/6/2002,3.499805545,6.121424843,-2.621619298,13.84615385,33.91177782,45.9607019,52.5073978,-116.7990284,47.63636037,500.225,514.5540788,485.8959212,5.729053456,0.195549166
20/6/2002,2.42011586,5.381163047,-2.961047187,1.538461538,23.2318158,38.93671125,45.69079732,-122.8865489,44.1793774,499.95,515.0153576,484.8846424,6.02674572,0.086800383
21/6/2002,2.144916068,4.733913651,-2.588997583,24.61538462,20.39979069,32.88100946,39.25947421,-66.73276201,51.31368067,500.125,514.8716098,485.3783902,5.89716962,0.326231246
24/6/2002,2.722524026,4.331635726,-1.6091117,56.15384615,22.92307692,27.98846832,33.26872968,72.19533544,59.02192884,500.8375,515.1214727,486.5535273,5.704034806,0.65445633
25/6/2002,2.984495798,4.06220774,-1.077711942,50,29.23076923,25.93944609,28.93630796,86.6666686,57.12155272,501.1375,515.3593801,486.9156199,5.675839525,0.574269364
26/6/2002,4.013282847,4.052422762,-0.039139915,83.07692308,43.07692308,27.77247514,27.23346319,165.7119452,63.8576154,502.025,517.1055338,486.9444662,6.007881604,0.897035017
27/6/2002,5.411753807,4.324288971,1.087464837,93.95973154,61.56117708,35.4383474,29.71675621,219.0851439,67.89917899,503.0625,520.4635596,485.6614404,6.918050777,1.044147898
