Dates,PX_LAST,PX_SETTLE,PX_VOLUME
12/10/2001,435.5,435.5,52247
15/10/2001,429.25,429.25,40576
16/10/2001,430.5,430.5,30161
17/10/2001,434,434,37405
18/10/2001,431,431,29741
19/10/2001,424.75,424.75,33097
22/10/2001,420.75,420.75,29703
23/10/2001,420.75,420.75,33149
24/10/2001,424.5,424.5,33642
25/10/2001,428.25,428.25,31384
26/10/2001,426.5,426.5,44656
29/10/2001,426.5,426.5,33500
30/10/2001,431.75,431.75,46390
31/10/2001,428.5,428.5,16938
1/11/2001,441.5,441.5,46071
2/11/2001,439,439,33140
5/11/2001,441.25,441.25,24725
6/11/2001,436,436,30321
7/11/2001,441.25,441.25,38005
8/11/2001,437.75,437.75,30656
9/11/2001,444.5,444.5,38108
12/11/2001,447.25,447.25,25611
13/11/2001,445.25,445.25,20949
14/11/2001,447.25,447.25,24985
15/11/2001,446.75,446.75,19484
16/11/2001,452.5,452.5,35262
19/11/2001,452.25,452.25,28150
20/11/2001,448.5,448.5,32190
21/11/2001,450,450,18570
22/11/2001,450,450,18570
23/11/2001,451.25,451.25,14654
26/11/2001,441.25,441.25,43772
27/11/2001,444,444,36052
28/11/2001,435.5,435.5,34742
29/11/2001,436.5,436.5,29140
30/11/2001,444.5,444.5,46387
3/12/2001,447.25,447.25,24595
4/12/2001,444.75,444.75,23428
5/12/2001,442.5,442.5,20477
6/12/2001,441.5,441.5,19901
7/12/2001,445.25,445.25,33835
10/12/2001,443,443,19874
11/12/2001,437.5,437.5,35183
12/12/2001,432.5,432.5,26815
13/12/2001,433.75,433.75,26942
14/12/2001,436.25,436.25,27311
17/12/2001,436.75,436.75,25084
18/12/2001,432,432,29974
19/12/2001,435,435,32674
20/12/2001,435.5,435.5,26963
21/12/2001,435.5,435.5,39927
24/12/2001,435.5,435.5,39927
25/12/2001,435.5,435.5,39927
26/12/2001,428.25,428.25,23474
27/12/2001,427.5,427.5,22223
28/12/2001,424.25,424.25,25705
31/12/2001,421,421,6622
1/1/2002,421,421,6622
2/1/2002,418.25,418.25,38993
3/1/2002,424,424,28773
4/1/2002,424.5,424.5,27534
7/1/2002,430.75,430.75,48539
8/1/2002,435,435,36037
9/1/2002,439.5,439.5,48394
10/1/2002,432.5,432.5,33454
11/1/2002,443,443,50375
14/1/2002,446.75,446.75,53170
15/1/2002,446,446,32755
16/1/2002,452.5,452.5,35849
17/1/2002,450.75,450.75,45028
18/1/2002,445.5,445.5,24738
21/1/2002,445.5,445.5,24738
22/1/2002,439,439,31031
23/1/2002,433.5,433.5,31710
24/1/2002,437.25,437.25,31585
25/1/2002,430.75,430.75,36404
28/1/2002,431,431,35181
29/1/2002,428.5,428.5,28953
30/1/2002,427.75,427.75,22184
31/1/2002,430.25,430.25,35077
1/2/2002,426.75,426.75,21746
4/2/2002,434,434,25160
5/2/2002,432.75,432.75,24652
6/2/2002,428,428,30424
7/2/2002,431.25,431.25,21516
8/2/2002,429,429,27010
11/2/2002,431,431,20665
12/2/2002,436.25,436.25,23656
13/2/2002,439.5,439.5,37513
14/2/2002,436.25,436.25,23231
15/2/2002,437.25,437.25,20464
18/2/2002,437.25,437.25,20464
19/2/2002,438.25,438.25,29660
20/2/2002,445,445,29236
21/2/2002,444,444,18727
22/2/2002,441.25,441.25,17029
25/2/2002,436.75,436.75,16385
26/2/2002,436.75,436.75,22251
27/2/2002,442.75,442.75,22466
28/2/2002,435.75,435.75,12171
1/3/2002,451.5,451.5,49201
4/3/2002,451,451,32404
5/3/2002,457.25,457.25,42716
6/3/2002,454.5,454.5,29016
7/3/2002,459.5,459.5,65867
8/3/2002,465.5,465.5,50594
11/3/2002,464.75,464.75,34541
12/3/2002,463.25,463.25,29813
13/3/2002,462.75,462.75,27609
14/3/2002,468.5,468.5,32814
15/3/2002,472.25,472.25,41498
18/3/2002,460.5,460.5,36837
19/3/2002,463.5,463.5,37743
20/3/2002,458.5,458.5,23217
21/3/2002,459.25,459.25,34780
22/3/2002,464.5,464.5,32616
25/3/2002,462.5,462.5,24159
26/3/2002,467.75,467.75,24163
27/3/2002,472.75,472.75,29771
28/3/2002,476.25,476.25,43833
29/3/2002,476.25,476.25,43833
1/4/2002,475.75,475.75,22396
2/4/2002,473.25,473.25,22210
3/4/2002,461.75,461.75,40924
4/4/2002,459,459,41039
5/4/2002,465.5,465.5,25086
8/4/2002,458,458,40225
9/4/2002,461.25,461.25,24467
10/4/2002,460.5,460.5,34381
11/4/2002,458,458,12772
12/4/2002,461,461,15811
15/4/2002,456.5,456.5,13649
16/4/2002,463.25,463.25,16703
17/4/2002,473.25,473.25,24729
18/4/2002,470.25,470.25,14530
19/4/2002,472,472,18027
22/4/2002,470.5,470.5,13271
23/4/2002,474,474,13143
24/4/2002,479.5,479.5,22719
25/4/2002,474,474,18287
26/4/2002,467.5,467.5,25124
29/4/2002,461.75,461.75,22077
30/4/2002,462.25,462.25,11970
1/5/2002,464.25,464.25,19333
2/5/2002,463.75,463.75,23549
3/5/2002,461.25,461.25,34325
6/5/2002,462.75,462.75,26676
7/5/2002,465.5,465.5,19338
8/5/2002,472,472,37926
9/5/2002,476.25,476.25,31935
10/5/2002,470.75,470.75,36023
13/5/2002,477.5,477.5,34832
14/5/2002,476,476,22552
15/5/2002,482,482,35073
16/5/2002,484.75,484.75,42471
17/5/2002,487.5,487.5,33897
20/5/2002,491.25,491.25,37469
21/5/2002,490.5,490.5,29150
22/5/2002,493,493,38165
23/5/2002,491.5,491.5,28805
24/5/2002,491,491,33883
27/5/2002,491,491,33883
28/5/2002,497.25,497.25,32000
29/5/2002,496.25,496.25,40618
